time,prey,predator
6.351587896974243641e+00,1.822528213108225614e+01,1.933405414580320425e+01
6.401600400100025290e+00,1.788066406674288089e+01,1.950344367233775600e+01
6.451612903225806939e+00,1.753260971330864848e+01,1.966956750862997438e+01
6.501625406351588587e+00,1.718141810068409825e+01,1.983218164684961593e+01
6.551637909477369348e+00,1.682740083917702378e+01,1.999103863520798541e+01
6.601650412603150997e+00,1.647088215463338301e+01,2.014588781339514867e+01
6.651662915728932646e+00,1.611219808123998831e+01,2.029647679176712316e+01
6.701675418854714295e+00,1.575169638476298140e+01,2.044255169637034797e+01
6.751687921980495055e+00,1.538973633730618573e+01,2.058385754430227621e+01
6.801700425106276704e+00,1.502668829038462128e+01,2.072013955685834574e+01
6.851712928232058353e+00,1.466293295639870919e+01,2.085114397306855594e+01
6.901725431357840002e+00,1.429885972128671945e+01,2.097661991728952557e+01
6.951737934483621650e+00,1.393486656826269154e+01,2.109631949617454083e+01
7.001750437609402411e+00,1.357135916537740883e+01,2.120999877658968202e+01
7.051762940735184060e+00,1.320874951394525887e+01,2.131741951970300164e+01
7.101775443860965709e+00,1.284745391828449002e+01,2.141835065202633714e+01
7.151787946986747357e+00,1.248789130973552730e+01,2.151256965182685832e+01
7.201800450112528118e+00,1.213048288543122410e+01,2.159986282555462012e+01
7.251812953238309767e+00,1.177564958676718376e+01,2.168002742606952182e+01
7.301825456364091416e+00,1.142381021643818606e+01,2.175287294141388728e+01
7.351837959489873064e+00,1.107537847491727945e+01,2.181822290016279453e+01
7.401850462615653825e+00,1.073076247999381572e+01,2.187591517674325559e+01
7.451862965741435474e+00,1.039036208517487658e+01,2.192580372422714063e+01
7.501875468867217123e+00,1.005456654068338374e+01,2.196775991816765128e+01
7.551887971992998771e+00,9.723751489944984172e+00,2.200167390496681463e+01
7.601900475118780420e+00,9.398278300029970111e+00,2.202745492318392806e+01
7.651912978244561181e+00,9.078491414494815004e+00,2.204503260999041814e+01
7.701925481370342830e+00,8.764716066119781601e+00,2.205435789074916997e+01
7.751937984496124479e+00,8.457256041236778543e+00,2.205540352218151412e+01
7.801950487621906127e+00,8.156393068027920634e+00,2.204816425238715283e+01
7.851962990747686888e+00,7.862384520794481801e+00,2.203265750589902083e+01
7.901975493873468537e+00,7.575461996471660520e+00,2.200892332935463358e+01
7.951987996999250186e+00,7.295830311732274254e+00,2.197702412969259456e+01
8.002000500125031834e+00,7.023667084455223808e+00,2.193704452345677325e+01
8.052013003250813483e+00,6.759121443612232660e+00,2.188909110865251151e+01
8.102025506376595132e+00,6.502314086104888702e+00,2.183329126356563066e+01
8.152038009502376781e+00,6.253337301441654006e+00,2.176979248661272592e+01
8.202050512628156653e+00,6.012255094049021586e+00,2.169876162039328094e+01
8.252063015753938302e+00,5.779103278104293473e+00,2.162038377397654898e+01
8.302075518879719951e+00,5.553891110348923021e+00,2.153486015449117374e+01
8.352088022005501600e+00,5.336601753297831152e+00,2.144240743024403528e+01
8.402100525131283248e+00,5.127193322541685028e+00,2.134325623850761744e+01
8.452113028257064897e+00,4.925600076419651252e+00,2.123764960118052869e+01
8.502125531382846546e+00,4.731735256428954095e+00,2.112584027970099854e+01
8.552138034508628195e+00,4.545491616580061844e+00,2.100809027169409759e+01
8.602150537634409844e+00,4.366743349947030950e+00,2.088466892617353565e+01
8.652163040760189716e+00,4.195346975089675468e+00,2.075585178070619463e+01
8.702175543885971365e+00,4.031145631519052586e+00,2.062191732214868622e+01
8.752188047011753014e+00,3.873970032899569205e+00,2.048314624675991524e+01
8.802200550137534663e+00,3.723638789075290667e+00,2.033982120249791947e+01
8.852213053263316311e+00,3.579961436083258786e+00,2.019222418609456327e+01
8.902225556389097960e+00,3.442739924593772205e+00,2.004063548889645929e+01
8.952238059514879609e+00,3.311771351085430748e+00,1.988533200544770807e+01
9.002250562640661258e+00,3.186848347706808138e+00,1.972658695724280165e+01
9.052263065766441130e+00,3.067760501278591789e+00,1.956466887776782215e+01
9.102275568892222779e+00,2.954295948372410940e+00,1.939984040538387333e+01
9.152288072018004428e+00,2.846243239477428411e+00,1.923235742393917747e+01
9.202300575143786077e+00,2.743392093629665407e+00,1.906246865165871540e+01
9.252313078269567725e+00,2.645533827062336751e+00,1.889041539344619736e+01
9.302325581395349374e+00,2.552462738243485685e+00,1.871643066028944347e+01
9.352338084521131023e+00,2.463976920579199703e+00,1.854073897375575797e+01
9.402350587646912672e+00,2.379879008513275718e+00,1.836355612187421826e+01
9.452363090772694321e+00,2.299976318569009415e+00,1.818508911702214448e+01
9.502375593898474193e+00,2.224081514592233688e+00,1.800553591272426956e+01
9.552388097024255842e+00,2.152012997049272958e+00,1.782508543938355317e+01
9.602400600150037491e+00,2.083595281001245247e+00,1.764391768974344643e+01
9.652413103275819140e+00,2.018659028389003574e+00,1.746220373914007240e+01
9.702425606401600788e+00,1.957041218279013561e+00,1.728010584660512450e+01
9.752438109527382437e+00,1.898585260337649627e+00,1.709777761162213849e+01
9.802450612653164086e+00,1.843141034794115729e+00,1.691536431256108486e+01
9.852463115778945735e+00,1.790564891997543651e+00,1.673300295200075993e+01
9.902475618904727384e+00,1.740719545613652164e+00,1.655082252909738116e+01
9.952488122030507256e+00,1.693474005871038690e+00,1.636894429675945517e+01
1.000250062515628890e+01,1.648703416424786905e+00,1.618748218006127360e+01
